D D# 0.0928798
V Am 17.1827664
V Am 17.2292063
V Am 17.2756463
V Am 17.3220862
V Am 17.3685261
V Am 17.4149660
V Am 17.4614059
V Am 17.5078458
V Am 17.5542857
V Am 17.6007256
V Am 17.6471655
V Am 17.6936054
V Am 17.7400454
V Am 17.7864853
V Am 17.8329252
V Am 17.8793651
V Am 17.9258050
V Am 17.9722449
V Am 18.0186848
V Am 18.0651247
V Am 18.1115646
V Am 18.1580045
V Am 18.2044444
V Am 18.2508844
V Am 18.2973243
V Am 18.3437642
V Am 18.3902041
V Am 18.4366440
V Am 18.4830839
V Am 18.5295238
V Am 18.5759637
V Am 18.6224036
V Am 18.6688435
V Am 18.7152834
V Am 18.7617234
V Am 18.8081633
V Am 18.8546032
V Am 18.9010431
V Am 18.9474830
V Am 18.9939229
V Am 19.0403628
V Am 19.0868027
V Am 19.1332426
V Am 19.1796825
V Am 19.2261224
V Am 19.2725624
V Am 19.3190023
V Am 19.3654422
V Am 19.4118821
V Am 19.4583220
V Am 19.5047619
V Am 19.5512018
V Am 19.5976417
V Am 19.6440816
V Am 19.6905215
V Am 19.7369615
V Am 19.7834014
V Am 19.8298413
V Am 19.8762812
V Am 19.9227211
V Am 19.9691610
V Am 20.0156009
V Am 20.0620408
V Am 20.1084807
V Am 20.1549206
V Am 20.2013605
V Am 20.2478005
V Am 20.2942404
V Am 20.3406803
V Am 20.3871202
V Am 20.4335601
V Am 20.4800000
V Am 20.5264399
V Am 20.5728798
V Am 20.6193197
V Am 20.6657596
V Am 20.7121995
V Am 20.7586395
V Am 20.8050794
V Am 20.8515193
V Am 20.8979592
V Am 20.9443991
V Am 20.9908390
V Am 21.0372789
V Am 21.0837188
V Am 21.1301587
V Am 21.1765986
V Am 21.2230385
V Am 21.2694785
V Am 21.3159184
V Am 21.3623583
V Am 21.4087982
V Am 21.4552381
V Am 21.5016780
V Am 21.5481179
V Am 21.5945578
V Am 21.6409977
V Am 21.6874376
V Am 21.7338776
V Am 21.7803175
V Am 21.8267574
V Am 21.8731973
V Am 21.9196372
V Am 21.9660771
V Am 22.0125170
V Am 22.0589569
V Am 22.1053968
V Am 22.1518367
V Am 22.1982766
V Am 22.2447166
V Am 22.2911565
V Am 22.3375964
V Am 22.3840363
V Am 22.4304762
V Am 22.4769161
V Am 22.5233560
V Am 22.5697959
V Am 22.6162358
V Am 22.6626757
V Am 22.7091156
V Am 22.7555556
V Am 22.8019955
V Am 22.8484354
V Am 22.8948753
V Am 22.9413152
V Am 22.9877551
V Am 23.0341950
V Am 23.0806349
V Am 23.1270748
V Am 23.1735147
V Am 23.2199546
V Am 23.2663946
V Am 23.3128345
V Am 23.3592744
V Am 23.4057143
V Am 23.4521542
V Am 23.4985941
V Am 23.5450340
V Am 23.5914739
V Am 23.6379138
V Am 23.6843537
V Am 23.7307937
V Am 23.7772336
V Am 23.8236735
V Am 23.8701134
V Am 23.9165533
V Am 23.9629932
V Am 24.0094331
V Am 24.0558730
V Am 24.1023129
V Am 24.1487528
V Am 24.1951927
V Am 24.2416327
V Am 24.2880726
V Am 24.3345125
V Am 24.3809524
V Am 24.4273923
V Am 24.4738322
V Am 24.5202721
V Am 24.5667120
V Am 24.6131519
V Am 24.6595918
V Am 24.7060317
V Am 24.7524717
V Am 24.7989116
V Am 24.8453515
V Am 24.8917914
V Am 24.9382313
V Am 24.9846712
V Am 25.0311111
V Am 25.0775510
V Am 25.1239909
V Am 25.1704308
V Am 25.2168707
V Am 25.2633107
V Am 25.3097506
V Am 25.3561905
V Am 25.4026304
V Am 25.4490703
V Am 25.4955102
V Am 25.5419501
V Am 25.5883900
V Am 25.6348299
V Am 25.6812698
V Am 25.7277098
V Am 25.7741497
V Am 25.8205896
V Am 25.8670295
V Am 25.9134694
V Am 25.9599093
V Am 26.0063492
V Am 26.0527891
V Am 26.0992290
V Am 26.1456689
V Am 26.1921088
V Am 26.2385488
V Am 26.2849887
V Am 26.3314286
V Am 26.3778685
V Am 26.4243084
V Am 26.4707483
V Am 26.5171882
V Am 26.5636281
V Am 26.6100680
V Am 26.6565079
V Am 26.7029478
V Am 26.7493878
V Am 26.7958277
V Am 26.8422676
V Am 26.8887075
V Am 26.9351474
V Am 26.9815873
V Am 27.0280272
V Am 27.0744671
V Am 27.1209070
V Am 27.1673469
V Am 27.2137868
V Am 27.2602268
V Am 27.3066667
V Am 27.3531066
V Am 27.3995465
V Am 27.4459864
V Am 27.4924263
V Am 27.5388662
V Am 27.5853061
V Am 27.6317460
V Am 27.6781859
V Am 27.7246259
V Am 27.7710658
V Am 27.8175057
V Am 27.8639456
V Am 27.9103855
V Am 27.9568254
V Am 28.0032653
V Am 28.0497052
V Am 28.0961451
V Am 28.1425850
V Am 28.1890249
V Am 28.2354649
V Am 28.2819048
V Am 28.3283447
V Am 28.3747846
V Am 28.4212245
V Am 28.4676644
V Am 28.5141043
V Am 28.5605442
V Am 28.6069841
V Am 28.6534240
V Am 28.6998639
V Am 28.7463039
V Am 28.7927438
V Am 28.8391837
V Am 28.8856236
V Am 28.9320635
V Am 28.9785034
V Am 29.0249433
V Am 29.0713832
V Am 29.1178231
V Am 29.1642630
V Am 29.2107029
V Am 29.2571429
V Am 29.3035828
V Am 29.3500227
V Am 29.3964626
V Am 29.4429025
V Am 29.4893424
V Am 29.5357823
V Am 29.5822222
V Am 29.6286621
V Am 29.6751020
V Am 29.7215420
V Am 29.7679819
V Am 29.8144218
V Am 29.8608617
V Am 29.9073016
V Am 29.9537415
V Am 30.0001814
V Am 30.0466213
V Am 30.0930612
V Am 30.1395011
V Am 30.1859410
V Am 30.2323810
V Am 30.2788209
V Am 30.3252608
V Am 30.3717007
V Am 30.4181406
V Am 30.4645805
V Am 30.5110204
V Am 30.5574603
V Am 30.6039002
V Am 30.6503401
V Am 30.6967800
V Am 30.7432200
V Am 30.7896599
V Am 30.8360998
V Am 30.8825397
V Am 30.9289796
V Am 30.9754195
V Am 31.0218594
V Am 31.0682993
V Am 31.1147392
V Am 31.1611791
V Am 31.2076190
V Am 31.2540590
V Am 31.3004989
V Am 31.3469388
V Am 31.3933787
V Am 31.4398186
V Am 31.4862585
V Am 31.5326984
V Am 31.5791383
V Am 31.6255782
V Am 31.6720181
V Am 31.7184580
V Am 31.7648980
V Am 31.8113379
V Am 31.8577778
V Am 31.9042177
V Am 31.9506576
V Am 31.9970975
V Am 32.0435374
V Am 32.0899773
V Am 32.1364172
V Am 32.1828571
V Am 32.2292971
V Am 32.2757370
V Am 32.3221769
V Am 32.3686168
V Am 32.4150567
V Am 32.4614966
V Am 32.5079365
V Am 32.5543764
V Am 32.6008163
V Am 32.6472562
V Am 32.6936961
V Am 32.7401361
V Am 32.7865760
V Am 32.8330159
V Am 32.8794558
V Am 32.9258957
V Am 32.9723356
V Am 33.0187755
V Am 33.0652154
V Am 33.1116553
V Am 33.1580952
V Am 33.2045351
V Am 33.2509751
V Am 33.2974150
V Am 33.3438549
J A 33.3902948
J A 33.4367347
J A 33.4831746
J A 33.5296145
J A 33.5760544
J A 33.6224943
J A 33.6689342
J A 33.7153741
J A 33.7618141
J A 33.8082540
J A 33.8546939
J A 33.9011338
J A 33.9475737
J A 33.9940136
J A 34.0404535
J A 34.0868934
J A 34.1333333
J A 34.1797732
J A 34.2262132
J A 34.2726531
J A 34.3190930
J A 34.3655329
J A 34.4119728
J A 34.4584127
J A 34.5048526
J A 34.5512925
J A 34.5977324
J A 34.6441723
J A 34.6906122
J A 34.7370522
J A 34.7834921
J A 34.8299320
J A 34.8763719
J A 34.9228118
J A 34.9692517
J A 35.0156916
J A 35.0621315
J A 35.1085714
J A 35.1550113
J A 35.2014512
J A 35.2478912
J A 35.2943311
J A 35.3407710
J A 35.3872109
J A 35.4336508
J A 35.4800907
J A 35.5265306
J A 35.5729705
J A 35.6194104
J A 35.6658503
J A 35.7122902
J A 35.7587302
J A 35.8051701
J A 35.8516100
J A 35.8980499
J A 35.9444898
J A 35.9909297
J A 36.0373696
J A 36.0838095
J A 36.1302494
J A 36.1766893
J A 36.2231293
J A 36.2695692
J A 36.3160091
J A 36.3624490
J A 36.4088889
J A 36.4553288
J A 36.5017687
J A 36.5482086
J A 36.5946485
J A 36.6410884
J A 36.6875283
J A 36.7339683
J A 36.7804082
A C 36.8268481
A C 36.8732880
A C 36.9197279
A C 36.9661678
A C 37.0126077
A C 37.0590476
A C 37.1054875
A C 37.1519274
A C 37.1983673
A C 37.2448073
A C 37.2912472
A C 37.3376871
A C 37.3841270
A C 37.4305669
A C 37.4770068
A C 37.5234467
A C 37.5698866
A C 37.6163265
A C 37.6627664
A C 37.7092063
A C 37.7556463
A C 37.8020862
A C 37.8485261
A C 37.8949660
A C 37.9414059
A C 37.9878458
A C 38.0342857
A C 38.0807256
A C 38.1271655
A C 38.1736054
A C 38.2200454
A C 38.2664853
A C 38.3129252
A C 38.3593651
A C 38.4058050
A C 38.4522449
A C 38.4986848
A C 38.5451247
A C 38.5915646
A C 38.6380045
A C 38.6844444
A C 38.7308844
A C 38.7773243
A C 38.8237642
A C 38.8702041
A C 38.9166440
A C 38.9630839
A C 39.0095238
A C 39.0559637
A C 39.1024036
A C 39.1488435
A C 39.1952834
A C 39.2417234
A C 39.2881633
A C 39.3346032
A C 39.3810431
A C 39.4274830
A C 39.4739229
A C 39.5203628
A C 39.5668027
A C 39.6132426
A C 39.6596825
A C 39.7061224
A C 39.7525624
A C 39.7990023
A C 39.8454422
A C 39.8918821
A C 39.9383220
A C 39.9847619
A C 40.0312018
A C 40.0776417
A C 40.1240816
A C 40.1705215
A C 40.2169615
A C 40.2634014
A C 40.3098413
A C 40.3562812
A C 40.4027211
A C 40.4491610
A C 40.4956009
A C 40.5420408
A C 40.5884807
A C 40.6349206
A C 40.6813605
A C 40.7278005
A C 40.7742404
A C 40.8206803
A C 40.8671202
A C 40.9135601
A C 40.9600000
A C 41.0064399
A C 41.0528798
A C 41.0993197
A C 41.1457596
A C 41.1921995
A C 41.2386395
J A 41.2850794
J A 41.3315193
J A 41.3779592
J A 41.4243991
J A 41.4708390
J A 41.5172789
J A 41.5637188
J A 41.6101587
J A 41.6565986
J A 41.7030385
J A 41.7494785
J A 41.7959184
J A 41.8423583
J A 41.8887982
J A 41.9352381
J A 41.9816780
J A 42.0281179
J A 42.0745578
J A 42.1209977
J A 42.1674376
J A 42.2138776
J A 42.2603175
J A 42.3067574
J A 42.3531973
J A 42.3996372
J A 42.4460771
J A 42.4925170
J A 42.5389569
J A 42.5853968
J A 42.6318367
J A 42.6782766
J A 42.7247166
J A 42.7711565
J A 42.8175964
J A 42.8640363
J A 42.9104762
J A 42.9569161
J A 43.0033560
J A 43.0497959
J A 43.0962358
J A 43.1426757
J A 43.1891156
J A 43.2355556
J A 43.2819955
J A 43.3284354
J A 43.3748753
J A 43.4213152
J A 43.4677551
J A 43.5141950
J A 43.5606349
J A 43.6070748
J A 43.6535147
J A 43.6999546
J A 43.7463946
J A 43.7928345
J A 43.8392744
J A 43.8857143
J A 43.9321542
J A 43.9785941
J A 44.0250340
J A 44.0714739
J A 44.1179138
J A 44.1643537
J A 44.2107937
J A 44.2572336
J A 44.3036735
J A 44.3501134
J A 44.3965533
J A 44.4429932
J A 44.4894331
J A 44.5358730
J A 44.5823129
J A 44.6287528
J A 44.6751927
J A 44.7216327
J A 44.7680726
J A 44.8145125
J A 44.8609524
J A 44.9073923
J A 44.9538322
J A 45.0002721
J A 45.0467120
J A 45.0931519
J A 45.1395918
J A 45.1860317
J A 45.2324717
J A 45.2789116
J A 45.3253515
J A 45.3717914
J A 45.4182313
J A 45.4646712
J A 45.5111111
J A 45.5575510
J A 45.6039909
V Am 45.6504308
V Am 45.6968707
V Am 45.7433107
V Am 45.7897506
V Am 45.8361905
V Am 45.8826304
V Am 45.9290703
V Am 45.9755102
V Am 46.0219501
V Am 46.0683900
V Am 46.1148299
V Am 46.1612698
V Am 46.2077098
V Am 46.2541497
V Am 46.3005896
V Am 46.3470295
V Am 46.3934694
V Am 46.4399093
V Am 46.4863492
V Am 46.5327891
V Am 46.5792290
V Am 46.6256689
V Am 46.6721088
V Am 46.7185488
V Am 46.7649887
V Am 46.8114286
V Am 46.8578685
V Am 46.9043084
V Am 46.9507483
V Am 46.9971882
V Am 47.0436281
V Am 47.0900680
V Am 47.1365079
V Am 47.1829478
V Am 47.2293878
V Am 47.2758277
V Am 47.3222676
V Am 47.3687075
V Am 47.4151474
V Am 47.4615873
V Am 47.5080272
V Am 47.5544671
V Am 47.6009070
V Am 47.6473469
V Am 47.6937868
V Am 47.7402268
V Am 47.7866667
V Am 47.8331066
V Am 47.8795465
V Am 47.9259864
V Am 47.9724263
V Am 48.0188662
V Am 48.0653061
V Am 48.1117460
V Am 48.1581859
V Am 48.2046259
V Am 48.2510658
V Am 48.2975057
V Am 48.3439456
V Am 48.3903855
V Am 48.4368254
V Am 48.4832653
V Am 48.5297052
V Am 48.5761451
V Am 48.6225850
V Am 48.6690249
V Am 48.7154649
V Am 48.7619048
V Am 48.8083447
V Am 48.8547846
V Am 48.9012245
V Am 48.9476644
V Am 48.9941043
V Am 49.0405442
V Am 49.0869841
V Am 49.1334240
V Am 49.1798639
V Am 49.2263039
V Am 49.2727438
V Am 49.3191837
V Am 49.3656236
V Am 49.4120635
V Am 49.4585034
V Am 49.5049433
V Am 49.5513832
V Am 49.5978231
V Am 49.6442630
V Am 49.6907029
V Am 49.7371429
V Am 49.7835828
V Am 49.8300227
V Am 49.8764626
V Am 49.9229025
V Am 49.9693424
V Am 50.0157823
V Am 50.0622222
V Am 50.1086621
V Am 50.1551020
V Am 50.2015420
V Am 50.2479819
V Am 50.2944218
V Am 50.3408617
V Am 50.3873016
V Am 50.4337415
V Am 50.4801814
V Am 50.5266213
V Am 50.5730612
V Am 50.6195011
V Am 50.6659410
V Am 50.7123810
V Am 50.7588209
V Am 50.8052608
V Am 50.8517007
V Am 50.8981406
V Am 50.9445805
V Am 50.9910204
V Am 51.0374603
V Am 51.0839002
V Am 51.1303401
V Am 51.1767800
V Am 51.2232200
V Am 51.2696599
A C 51.3160998
A C 51.3625397
A C 51.4089796
A C 51.4554195
A C 51.5018594
A C 51.5482993
A C 51.5947392
A C 51.6411791
A C 51.6876190
A C 51.7340590
A C 51.7804989
A C 51.8269388
A C 51.8733787
A C 51.9198186
A C 51.9662585
A C 52.0126984
A C 52.0591383
A C 52.1055782
A C 52.1520181
A C 52.1984580
A C 52.2448980
A C 52.2913379
A C 52.3377778
A C 52.3842177
A C 52.4306576
A C 52.4770975
A C 52.5235374
A C 52.5699773
A C 52.6164172
A C 52.6628571
A C 52.7092971
A C 52.7557370
A C 52.8021769
A C 52.8486168
A C 52.8950567
A C 52.9414966
A C 52.9879365
A C 53.0343764
A C 53.0808163
J A 53.1272562
J A 53.1736961
J A 53.2201361
J A 53.2665760
J A 53.3130159
J A 53.3594558
J A 53.4058957
J A 53.4523356
J A 53.4987755
J A 53.5452154
J A 53.5916553
J A 53.6380952
J A 53.6845351
J A 53.7309751
J A 53.7774150
J A 53.8238549
J A 53.8702948
J A 53.9167347
J A 53.9631746
J A 54.0096145
H G 54.0560544
H G 54.1024943
H G 54.1489342
H G 54.1953741
H G 54.2418141
H G 54.2882540
H G 54.3346939
H G 54.3811338
H G 54.4275737
Q Em 54.4740136
Q Em 54.5204535
Q Em 54.5668934
Q Em 54.6133333
Q Em 54.6597732
Q Em 54.7062132
Q Em 54.7526531
Q Em 54.7990930
Q Em 54.8455329
Q Em 54.8919728
Q Em 54.9384127
Q Em 54.9848526
J A 55.0312925
J A 55.0777324
J A 55.1241723
J A 55.1706122
J A 55.2170522
J A 55.2634921
J A 55.3099320
J A 55.3563719
J A 55.4028118
J A 55.4492517
J A 55.4956916
J A 55.5421315
J A 55.5885714
J A 55.6350113
J A 55.6814512
J A 55.7278912
J A 55.7743311
J A 55.8207710
J A 55.8672109
J A 55.9136508
J A 55.9600907
J A 56.0065306
J A 56.0529705
J A 56.0994104
J A 56.1458503
J A 56.1922902
J A 56.2387302
J A 56.2851701
J A 56.3316100
J A 56.3780499
J A 56.4244898
J A 56.4709297
J A 56.5173696
J A 56.5638095
J A 56.6102494
J A 56.6566893
J A 56.7031293
J A 56.7495692
J A 56.7960091
J A 56.8424490
J A 56.8888889
J A 56.9353288
J A 56.9817687
J A 57.0282086
J A 57.0746485
J A 57.1210884
J A 57.1675283
J A 57.2139683
J A 57.2604082
J A 57.3068481
J A 57.3532880
J A 57.3997279
J A 57.4461678
J A 57.4926077
J A 57.5390476
J A 57.5854875
J A 57.6319274
J A 57.6783673
J A 57.7248073
J A 57.7712472
J A 57.8176871
J A 57.8641270
J A 57.9105669
J A 57.9570068
J A 58.0034467
J A 58.0498866
J A 58.0963265
J A 58.1427664
J A 58.1892063
J A 58.2356463
J A 58.2820862
J A 58.3285261
J A 58.3749660
J A 58.4214059
J A 58.4678458
J A 58.5142857
J A 58.5607256
J A 58.6071655
J A 58.6536054
J A 58.7000454
J A 58.7464853
J A 58.7929252
J A 58.8393651
J A 58.8858050
J A 58.9322449
J A 58.9786848
A C 59.0251247
A C 59.0715646
A C 59.1180045
A C 59.1644444
A C 59.2108844
A C 59.2573243
A C 59.3037642
A C 59.3502041
A C 59.3966440
A C 59.4430839
A C 59.4895238
A C 59.5359637
A C 59.5824036
A C 59.6288435
A C 59.6752834
A C 59.7217234
A C 59.7681633
A C 59.8146032
A C 59.8610431
A C 59.9074830
A C 59.9539229
A C 60.0003628
A C 60.0468027
A C 60.0932426
A C 60.1396825
A C 60.1861224
A C 60.2325624
A C 60.2790023
A C 60.3254422
A C 60.3718821
A C 60.4183220
A C 60.4647619
A C 60.5112018
A C 60.5576417
A C 60.6040816
A C 60.6505215
A C 60.6969615
A C 60.7434014
A C 60.7898413
A C 60.8362812
A C 60.8827211
A C 60.9291610
A C 60.9756009
A C 61.0220408
Q Em 61.0684807
Q Em 61.1149206
Q Em 61.1613605
Q Em 61.2078005
Q Em 61.2542404
Q Em 61.3006803
Q Em 61.3471202
Q Em 61.3935601
Q Em 61.4400000
Q Em 61.4864399
Q Em 61.5328798
Q Em 61.5793197
Q Em 61.6257596
Q Em 61.6721995
Q Em 61.7186395
Q Em 61.7650794
Q Em 61.8115193
Q Em 61.8579592
Q Em 61.9043991
Q Em 61.9508390
Q Em 61.9972789
H G 62.0437188
H G 62.0901587
H G 62.1365986
H G 62.1830385
H G 62.2294785
H G 62.2759184
H G 62.3223583
H G 62.3687982
H G 62.4152381
H G 62.4616780
H G 62.5081179
H G 62.5545578
H G 62.6009977
H G 62.6474376
H G 62.6938776
H G 62.7403175
H G 62.7867574
H G 62.8331973
H G 62.8796372
H G 62.9260771
J A 62.9725170
J A 63.0189569
J A 63.0653968
J A 63.1118367
J A 63.1582766
J A 63.2047166
J A 63.2511565
J A 63.2975964
J A 63.3440363
J A 63.3904762
J A 63.4369161
J A 63.4833560
J A 63.5297959
J A 63.5762358
J A 63.6226757
J A 63.6691156
J A 63.7155556
J A 63.7619955
J A 63.8084354
J A 63.8548753
J A 63.9013152
J A 63.9477551
J A 63.9941950
J A 64.0406349
J A 64.0870748
J A 64.1335147
J A 64.1799546
J A 64.2263946
J A 64.2728345
J A 64.3192744
J A 64.3657143
J A 64.4121542
J A 64.4585941
J A 64.5050340
J A 64.5514739
J A 64.5979138
J A 64.6443537
J A 64.6907937
J A 64.7372336
J A 64.7836735
J A 64.8301134
J A 64.8765533
J A 64.9229932
J A 64.9694331
J A 65.0158730
J A 65.0623129
J A 65.1087528
J A 65.1551927
J A 65.2016327
J A 65.2480726
J A 65.2945125
J A 65.3409524
J A 65.3873923
J A 65.4338322
J A 65.4802721
J A 65.5267120
J A 65.5731519
J A 65.6195918
J A 65.6660317
J A 65.7124717
J A 65.7589116
J A 65.8053515
J A 65.8517914
J A 65.8982313
J A 65.9446712
J A 65.9911111
J A 66.0375510
J A 66.0839909
J A 66.1304308
J A 66.1768707
J A 66.2233107
J A 66.2697506
J A 66.3161905
J A 66.3626304
J A 66.4090703
J A 66.4555102
J A 66.5019501
J A 66.5483900
J A 66.5948299
J A 66.6412698
J A 66.6877098
J A 66.7341497
J A 66.7805896
J A 66.8270295
J A 66.8734694
J A 66.9199093
J A 66.9663492
A C 67.0127891
A C 67.0592290
A C 67.1056689
A C 67.1521088
A C 67.1985488
A C 67.2449887
A C 67.2914286
A C 67.3378685
A C 67.3843084
A C 67.4307483
A C 67.4771882
A C 67.5236281
