W A#m 0.0928798
O Dm 19.4583220
O Dm 19.5047619
O Dm 19.5512018
O Dm 19.5976417
O Dm 19.6440816
O Dm 19.6905215
O Dm 19.7369615
O Dm 19.7834014
O Dm 19.8298413
O Dm 19.8762812
O Dm 19.9227211
O Dm 19.9691610
O Dm 20.0156009
O Dm 20.0620408
O Dm 20.1084807
O Dm 20.1549206
O Dm 20.2013605
O Dm 20.2478005
O Dm 20.2942404
O Dm 20.3406803
O Dm 20.3871202
O Dm 20.4335601
O Dm 20.4800000
O Dm 20.5264399
V Am 20.5728798
V Am 20.6193197
V Am 20.6657596
V Am 20.7121995
V Am 20.7586395
V Am 20.8050794
V Am 20.8515193
V Am 20.8979592
V Am 20.9443991
V Am 20.9908390
V Am 21.0372789
V Am 21.0837188
V Am 21.1301587
V Am 21.1765986
V Am 21.2230385
V Am 21.2694785
V Am 21.3159184
V Am 21.3623583
V Am 21.4087982
V Am 21.4552381
V Am 21.5016780
V Am 21.5481179
V Am 21.5945578
V Am 21.6409977
V Am 21.6874376
A C 21.7338776
A C 21.7803175
A C 21.8267574
A C 21.8731973
A C 21.9196372
A C 21.9660771
A C 22.0125170
A C 22.0589569
A C 22.1053968
A C 22.1518367
A C 22.1982766
A C 22.2447166
A C 22.2911565
A C 22.3375964
A C 22.3840363
A C 22.4304762
A C 22.4769161
A C 22.5233560
A C 22.5697959
A C 22.6162358
A C 22.6626757
A C 22.7091156
A C 22.7555556
A C 22.8019955
A C 22.8484354
A C 22.8948753
A C 22.9413152
A C 22.9877551
A C 23.0341950
A C 23.0806349
A C 23.1270748
A C 23.1735147
A C 23.2199546
A C 23.2663946
A C 23.3128345
A C 23.3592744
A C 23.4057143
A C 23.4521542
A C 23.4985941
A C 23.5450340
A C 23.5914739
A C 23.6379138
A C 23.6843537
A C 23.7307937
A C 23.7772336
A C 23.8236735
A C 23.8701134
A C 23.9165533
O Dm 23.9629932
O Dm 24.0094331
O Dm 24.0558730
O Dm 24.1023129
O Dm 24.1487528
O Dm 24.1951927
O Dm 24.2416327
O Dm 24.2880726
O Dm 24.3345125
O Dm 24.3809524
O Dm 24.4273923
O Dm 24.4738322
O Dm 24.5202721
O Dm 24.5667120
O Dm 24.6131519
O Dm 24.6595918
O Dm 24.7060317
O Dm 24.7524717
O Dm 24.7989116
O Dm 24.8453515
O Dm 24.8917914
O Dm 24.9382313
O Dm 24.9846712
O Dm 25.0311111
O Dm 25.0775510
O Dm 25.1239909
O Dm 25.1704308
O Dm 25.2168707
O Dm 25.2633107
O Dm 25.3097506
O Dm 25.3561905
J A 25.4026304
J A 25.4490703
J A 25.4955102
J A 25.5419501
J A 25.5883900
J A 25.6348299
J A 25.6812698
J A 25.7277098
J A 25.7741497
J A 25.8205896
J A 25.8670295
J A 25.9134694
J A 25.9599093
J A 26.0063492
J A 26.0527891
J A 26.0992290
J A 26.1456689
J A 26.1921088
J A 26.2385488
J A 26.2849887
J A 26.3314286
J A 26.3778685
J A 26.4243084
J A 26.4707483
J A 26.5171882
J A 26.5636281
J A 26.6100680
J A 26.6565079
J A 26.7029478
J A 26.7493878
J A 26.7958277
J A 26.8422676
J A 26.8887075
J A 26.9351474
J A 26.9815873
J A 27.0280272
J A 27.0744671
J A 27.1209070
J A 27.1673469
J A 27.2137868
J A 27.2602268
J A 27.3066667
J A 27.3531066
J A 27.3995465
J A 27.4459864
J A 27.4924263
J A 27.5388662
J A 27.5853061
J A 27.6317460
J A 27.6781859
J A 27.7246259
J A 27.7710658
J A 27.8175057
J A 27.8639456
J A 27.9103855
J A 27.9568254
J A 28.0032653
J A 28.0497052
J A 28.0961451
J A 28.1425850
J A 28.1890249
J A 28.2354649
J A 28.2819048
J A 28.3283447
A C 28.3747846
A C 28.4212245
A C 28.4676644
A C 28.5141043
A C 28.5605442
A C 28.6069841
A C 28.6534240
A C 28.6998639
A C 28.7463039
A C 28.7927438
A C 28.8391837
A C 28.8856236
A C 28.9320635
A C 28.9785034
A C 29.0249433
A C 29.0713832
A C 29.1178231
A C 29.1642630
A C 29.2107029
A C 29.2571429
A C 29.3035828
A C 29.3500227
A C 29.3964626
A C 29.4429025
A C 29.4893424
A C 29.5357823
A C 29.5822222
A C 29.6286621
A C 29.6751020
A C 29.7215420
A C 29.7679819
A C 29.8144218
A C 29.8608617
A C 29.9073016
A C 29.9537415
A C 30.0001814
A C 30.0466213
V Am 30.0930612
V Am 30.1395011
V Am 30.1859410
V Am 30.2323810
V Am 30.2788209
V Am 30.3252608
V Am 30.3717007
V Am 30.4181406
V Am 30.4645805
V Am 30.5110204
V Am 30.5574603
V Am 30.6039002
V Am 30.6503401
V Am 30.6967800
V Am 30.7432200
V Am 30.7896599
V Am 30.8360998
V Am 30.8825397
V Am 30.9289796
V Am 30.9754195
V Am 31.0218594
V Am 31.0682993
V Am 31.1147392
V Am 31.1611791
V Am 31.2076190
V Am 31.2540590
V Am 31.3004989
V Am 31.3469388
V Am 31.3933787
V Am 31.4398186
V Am 31.4862585
V Am 31.5326984
V Am 31.5791383
V Am 31.6255782
V Am 31.6720181
V Am 31.7184580
V Am 31.7648980
V Am 31.8113379
V Am 31.8577778
V Am 31.9042177
V Am 31.9506576
V Am 31.9970975
V Am 32.0435374
V Am 32.0899773
V Am 32.1364172
V Am 32.1828571
V Am 32.2292971
V Am 32.2757370
V Am 32.3221769
V Am 32.3686168
V Am 32.4150567
V Am 32.4614966
V Am 32.5079365
V Am 32.5543764
V Am 32.6008163
V Am 32.6472562
V Am 32.6936961
V Am 32.7401361
V Am 32.7865760
V Am 32.8330159
V Am 32.8794558
V Am 32.9258957
V Am 32.9723356
V Am 33.0187755
V Am 33.0652154
V Am 33.1116553
A C 33.1580952
A C 33.2045351
A C 33.2509751
A C 33.2974150
A C 33.3438549
A C 33.3902948
A C 33.4367347
A C 33.4831746
A C 33.5296145
A C 33.5760544
A C 33.6224943
A C 33.6689342
A C 33.7153741
A C 33.7618141
A C 33.8082540
A C 33.8546939
A C 33.9011338
A C 33.9475737
A C 33.9940136
A C 34.0404535
A C 34.0868934
A C 34.1333333
A C 34.1797732
A C 34.2262132
A C 34.2726531
A C 34.3190930
A C 34.3655329
A C 34.4119728
A C 34.4584127
A C 34.5048526
A C 34.5512925
A C 34.5977324
A C 34.6441723
A C 34.6906122
V Am 34.7370522
V Am 34.7834921
V Am 34.8299320
V Am 34.8763719
V Am 34.9228118
V Am 34.9692517
V Am 35.0156916
V Am 35.0621315
V Am 35.1085714
V Am 35.1550113
V Am 35.2014512
V Am 35.2478912
V Am 35.2943311
V Am 35.3407710
V Am 35.3872109
V Am 35.4336508
V Am 35.4800907
V Am 35.5265306
V Am 35.5729705
V Am 35.6194104
V Am 35.6658503
V Am 35.7122902
V Am 35.7587302
V Am 35.8051701
V Am 35.8516100
V Am 35.8980499
V Am 35.9444898
V Am 35.9909297
V Am 36.0373696
V Am 36.0838095
V Am 36.1302494
V Am 36.1766893
O Dm 36.2231293
O Dm 36.2695692
O Dm 36.3160091
O Dm 36.3624490
O Dm 36.4088889
O Dm 36.4553288
O Dm 36.5017687
O Dm 36.5482086
O Dm 36.5946485
O Dm 36.6410884
O Dm 36.6875283
O Dm 36.7339683
O Dm 36.7804082
O Dm 36.8268481
O Dm 36.8732880
O Dm 36.9197279
O Dm 36.9661678
O Dm 37.0126077
O Dm 37.0590476
O Dm 37.1054875
O Dm 37.1519274
O Dm 37.1983673
O Dm 37.2448073
O Dm 37.2912472
O Dm 37.3376871
O Dm 37.3841270
O Dm 37.4305669
O Dm 37.4770068
O Dm 37.5234467
O Dm 37.5698866
O Dm 37.6163265
O Dm 37.6627664
O Dm 37.7092063
O Dm 37.7556463
O Dm 37.8020862
O Dm 37.8485261
O Dm 37.8949660
O Dm 37.9414059
O Dm 37.9878458
O Dm 38.0342857
O Dm 38.0807256
O Dm 38.1271655
O Dm 38.1736054
O Dm 38.2200454
O Dm 38.2664853
O Dm 38.3129252
O Dm 38.3593651
O Dm 38.4058050
O Dm 38.4522449
A C 38.4986848
A C 38.5451247
A C 38.5915646
A C 38.6380045
A C 38.6844444
A C 38.7308844
A C 38.7773243
A C 38.8237642
A C 38.8702041
A C 38.9166440
A C 38.9630839
A C 39.0095238
A C 39.0559637
A C 39.1024036
A C 39.1488435
A C 39.1952834
A C 39.2417234
A C 39.2881633
A C 39.3346032
A C 39.3810431
A C 39.4274830
V Am 39.4739229
V Am 39.5203628
V Am 39.5668027
V Am 39.6132426
V Am 39.6596825
V Am 39.7061224
V Am 39.7525624
V Am 39.7990023
V Am 39.8454422
V Am 39.8918821
O Dm 39.9383220
O Dm 39.9847619
O Dm 40.0312018
O Dm 40.0776417
O Dm 40.1240816
J A 40.1705215
J A 40.2169615
J A 40.2634014
J A 40.3098413
J A 40.3562812
J A 40.4027211
J A 40.4491610
J A 40.4956009
A C 40.5420408
A C 40.5884807
A C 40.6349206
A C 40.6813605
A C 40.7278005
A C 40.7742404
A C 40.8206803
A C 40.8671202
A C 40.9135601
A C 40.9600000
A C 41.0064399
A C 41.0528798
A C 41.0993197
A C 41.1457596
A C 41.1921995
A C 41.2386395
A C 41.2850794
A C 41.3315193
V Am 41.3779592
V Am 41.4243991
V Am 41.4708390
V Am 41.5172789
V Am 41.5637188
V Am 41.6101587
V Am 41.6565986
V Am 41.7030385
V Am 41.7494785
V Am 41.7959184
V Am 41.8423583
V Am 41.8887982
V Am 41.9352381
V Am 41.9816780
V Am 42.0281179
V Am 42.0745578
V Am 42.1209977
V Am 42.1674376
V Am 42.2138776
V Am 42.2603175
V Am 42.3067574
V Am 42.3531973
V Am 42.3996372
V Am 42.4460771
V Am 42.4925170
A C 42.5389569
A C 42.5853968
A C 42.6318367
A C 42.6782766
A C 42.7247166
A C 42.7711565
A C 42.8175964
A C 42.8640363
A C 42.9104762
A C 42.9569161
A C 43.0033560
A C 43.0497959
A C 43.0962358
A C 43.1426757
A C 43.1891156
V Am 43.2355556
V Am 43.2819955
V Am 43.3284354
V Am 43.3748753
V Am 43.4213152
V Am 43.4677551
V Am 43.5141950
V Am 43.5606349
V Am 43.6070748
V Am 43.6535147
V Am 43.6999546
V Am 43.7463946
V Am 43.7928345
V Am 43.8392744
V Am 43.8857143
V Am 43.9321542
V Am 43.9785941
V Am 44.0250340
V Am 44.0714739
V Am 44.1179138
V Am 44.1643537
V Am 44.2107937
V Am 44.2572336
V Am 44.3036735
V Am 44.3501134
V Am 44.3965533
V Am 44.4429932
V Am 44.4894331
V Am 44.5358730
V Am 44.5823129
V Am 44.6287528
V Am 44.6751927
V Am 44.7216327
V Am 44.7680726
V Am 44.8145125
V Am 44.8609524
V Am 44.9073923
V Am 44.9538322
V Am 45.0002721
V Am 45.0467120
V Am 45.0931519
V Am 45.1395918
V Am 45.1860317
V Am 45.2324717
V Am 45.2789116
O Dm 45.3253515
O Dm 45.3717914
O Dm 45.4182313
O Dm 45.4646712
O Dm 45.5111111
O Dm 45.5575510
O Dm 45.6039909
O Dm 45.6504308
O Dm 45.6968707
O Dm 45.7433107
O Dm 45.7897506
O Dm 45.8361905
O Dm 45.8826304
O Dm 45.9290703
O Dm 45.9755102
O Dm 46.0219501
A C 46.0683900
A C 46.1148299
A C 46.1612698
A C 46.2077098
A C 46.2541497
A C 46.3005896
A C 46.3470295
A C 46.3934694
A C 46.4399093
A C 46.4863492
A C 46.5327891
A C 46.5792290
A C 46.6256689
A C 46.6721088
A C 46.7185488
A C 46.7649887
A C 46.8114286
A C 46.8578685
A C 46.9043084
V Am 46.9507483
V Am 46.9971882
V Am 47.0436281
V Am 47.0900680
V Am 47.1365079
V Am 47.1829478
V Am 47.2293878
V Am 47.2758277
V Am 47.3222676
V Am 47.3687075
V Am 47.4151474
V Am 47.4615873
V Am 47.5080272
V Am 47.5544671
V Am 47.6009070
V Am 47.6473469
V Am 47.6937868
V Am 47.7402268
V Am 47.7866667
V Am 47.8331066
V Am 47.8795465
V Am 47.9259864
V Am 47.9724263
V Am 48.0188662
V Am 48.0653061
V Am 48.1117460
V Am 48.1581859
A C 48.2046259
A C 48.2510658
A C 48.2975057
A C 48.3439456
A C 48.3903855
A C 48.4368254
A C 48.4832653
A C 48.5297052
A C 48.5761451
A C 48.6225850
A C 48.6690249
A C 48.7154649
A C 48.7619048
A C 48.8083447
A C 48.8547846
A C 48.9012245
A C 48.9476644
A C 48.9941043
A C 49.0405442
A C 49.0869841
A C 49.1334240
A C 49.1798639
A C 49.2263039
A C 49.2727438
A C 49.3191837
A C 49.3656236
A C 49.4120635
A C 49.4585034
A C 49.5049433
A C 49.5513832
V Am 49.5978231
V Am 49.6442630
V Am 49.6907029
V Am 49.7371429
V Am 49.7835828
V Am 49.8300227
O Dm 49.8764626
O Dm 49.9229025
O Dm 49.9693424
O Dm 50.0157823
O Dm 50.0622222
O Dm 50.1086621
O Dm 50.1551020
O Dm 50.2015420
O Dm 50.2479819
O Dm 50.2944218
O Dm 50.3408617
O Dm 50.3873016
O Dm 50.4337415
O Dm 50.4801814
O Dm 50.5266213
O Dm 50.5730612
O Dm 50.6195011
O Dm 50.6659410
O Dm 50.7123810
O Dm 50.7588209
O Dm 50.8052608
O Dm 50.8517007
O Dm 50.8981406
O Dm 50.9445805
J A 50.9910204
J A 51.0374603
J A 51.0839002
J A 51.1303401
J A 51.1767800
J A 51.2232200
J A 51.2696599
J A 51.3160998
J A 51.3625397
J A 51.4089796
J A 51.4554195
J A 51.5018594
J A 51.5482993
J A 51.5947392
J A 51.6411791
J A 51.6876190
J A 51.7340590
J A 51.7804989
J A 51.8269388
J A 51.8733787
J A 51.9198186
J A 51.9662585
J A 52.0126984
J A 52.0591383
J A 52.1055782
J A 52.1520181
J A 52.1984580
J A 52.2448980
J A 52.2913379
A C 52.3377778
A C 52.3842177
A C 52.4306576
A C 52.4770975
A C 52.5235374
A C 52.5699773
A C 52.6164172
A C 52.6628571
A C 52.7092971
A C 52.7557370
A C 52.8021769
A C 52.8486168
A C 52.8950567
A C 52.9414966
A C 52.9879365
A C 53.0343764
A C 53.0808163
A C 53.1272562
A C 53.1736961
A C 53.2201361
A C 53.2665760
A C 53.3130159
A C 53.3594558
A C 53.4058957
A C 53.4523356
A C 53.4987755
A C 53.5452154
A C 53.5916553
A C 53.6380952
A C 53.6845351
A C 53.7309751
A C 53.7774150
A C 53.8238549
A C 53.8702948
A C 53.9167347
A C 53.9631746
A C 54.0096145
A C 54.0560544
A C 54.1024943
A C 54.1489342
A C 54.1953741
A C 54.2418141
A C 54.2882540
A C 54.3346939
A C 54.3811338
A C 54.4275737
A C 54.4740136
A C 54.5204535
A C 54.5668934
A C 54.6133333
A C 54.6597732
A C 54.7062132
A C 54.7526531
A C 54.7990930
A C 54.8455329
A C 54.8919728
A C 54.9384127
A C 54.9848526
A C 55.0312925
A C 55.0777324
A C 55.1241723
A C 55.1706122
A C 55.2170522
A C 55.2634921
A C 55.3099320
A C 55.3563719
A C 55.4028118
A C 55.4492517
A C 55.4956916
A C 55.5421315
A C 55.5885714
A C 55.6350113
A C 55.6814512
A C 55.7278912
A C 55.7743311
A C 55.8207710
A C 55.8672109
A C 55.9136508
A C 55.9600907
A C 56.0065306
A C 56.0529705
A C 56.0994104
A C 56.1458503
A C 56.1922902
A C 56.2387302
A C 56.2851701
V Am 56.3316100
V Am 56.3780499
V Am 56.4244898
V Am 56.4709297
V Am 56.5173696
V Am 56.5638095
V Am 56.6102494
V Am 56.6566893
V Am 56.7031293
V Am 56.7495692
V Am 56.7960091
V Am 56.8424490
V Am 56.8888889
V Am 56.9353288
V Am 56.9817687
V Am 57.0282086
V Am 57.0746485
V Am 57.1210884
V Am 57.1675283
V Am 57.2139683
V Am 57.2604082
V Am 57.3068481
V Am 57.3532880
V Am 57.3997279
V Am 57.4461678
V Am 57.4926077
V Am 57.5390476
V Am 57.5854875
V Am 57.6319274
V Am 57.6783673
V Am 57.7248073
V Am 57.7712472
V Am 57.8176871
V Am 57.8641270
V Am 57.9105669
V Am 57.9570068
V Am 58.0034467
V Am 58.0498866
V Am 58.0963265
V Am 58.1427664
V Am 58.1892063
V Am 58.2356463
V Am 58.2820862
V Am 58.3285261
V Am 58.3749660
O Dm 58.4214059
O Dm 58.4678458
O Dm 58.5142857
O Dm 58.5607256
O Dm 58.6071655
O Dm 58.6536054
O Dm 58.7000454
O Dm 58.7464853
O Dm 58.7929252
O Dm 58.8393651
O Dm 58.8858050
O Dm 58.9322449
O Dm 58.9786848
O Dm 59.0251247
O Dm 59.0715646
O Dm 59.1180045
O Dm 59.1644444
O Dm 59.2108844
O Dm 59.2573243
O Dm 59.3037642
O Dm 59.3502041
O Dm 59.3966440
O Dm 59.4430839
O Dm 59.4895238
O Dm 59.5359637
O Dm 59.5824036
O Dm 59.6288435
O Dm 59.6752834
O Dm 59.7217234
O Dm 59.7681633
O Dm 59.8146032
O Dm 59.8610431
O Dm 59.9074830
O Dm 59.9539229
O Dm 60.0003628
O Dm 60.0468027
O Dm 60.0932426
O Dm 60.1396825
O Dm 60.1861224
O Dm 60.2325624
O Dm 60.2790023
O Dm 60.3254422
O Dm 60.3718821
O Dm 60.4183220
O Dm 60.4647619
O Dm 60.5112018
O Dm 60.5576417
O Dm 60.6040816
O Dm 60.6505215
O Dm 60.6969615
O Dm 60.7434014
O Dm 60.7898413
O Dm 60.8362812
O Dm 60.8827211
O Dm 60.9291610
V Am 60.9756009
V Am 61.0220408
V Am 61.0684807
V Am 61.1149206
V Am 61.1613605
V Am 61.2078005
V Am 61.2542404
V Am 61.3006803
V Am 61.3471202
V Am 61.3935601
V Am 61.4400000
V Am 61.4864399
V Am 61.5328798
V Am 61.5793197
V Am 61.6257596
V Am 61.6721995
V Am 61.7186395
V Am 61.7650794
V Am 61.8115193
V Am 61.8579592
V Am 61.9043991
V Am 61.9508390
V Am 61.9972789
V Am 62.0437188
V Am 62.0901587
V Am 62.1365986
V Am 62.1830385
V Am 62.2294785
V Am 62.2759184
V Am 62.3223583
V Am 62.3687982
V Am 62.4152381
V Am 62.4616780
V Am 62.5081179
V Am 62.5545578
V Am 62.6009977
V Am 62.6474376
V Am 62.6938776
V Am 62.7403175
V Am 62.7867574
V Am 62.8331973
V Am 62.8796372
V Am 62.9260771
V Am 62.9725170
V Am 63.0189569
V Am 63.0653968
V Am 63.1118367
V Am 63.1582766
V Am 63.2047166
V Am 63.2511565
V Am 63.2975964
V Am 63.3440363
V Am 63.3904762
V Am 63.4369161
V Am 63.4833560
V Am 63.5297959
V Am 63.5762358
V Am 63.6226757
V Am 63.6691156
V Am 63.7155556
V Am 63.7619955
V Am 63.8084354
V Am 63.8548753
V Am 63.9013152
V Am 63.9477551
V Am 63.9941950
V Am 64.0406349
V Am 64.0870748
V Am 64.1335147
V Am 64.1799546
V Am 64.2263946
V Am 64.2728345
V Am 64.3192744
V Am 64.3657143
V Am 64.4121542
V Am 64.4585941
V Am 64.5050340
V Am 64.5514739
V Am 64.5979138
V Am 64.6443537
V Am 64.6907937
V Am 64.7372336
V Am 64.7836735
V Am 64.8301134
A C 64.8765533
A C 64.9229932
A C 64.9694331
A C 65.0158730
A C 65.0623129
A C 65.1087528
A C 65.1551927
A C 65.2016327
A C 65.2480726
A C 65.2945125
A C 65.3409524
A C 65.3873923
A C 65.4338322
A C 65.4802721
A C 65.5267120
A C 65.5731519
A C 65.6195918
A C 65.6660317
A C 65.7124717
A C 65.7589116
A C 65.8053515
A C 65.8517914
A C 65.8982313
A C 65.9446712
A C 65.9911111
A C 66.0375510
A C 66.0839909
O Dm 66.1304308
O Dm 66.1768707
O Dm 66.2233107
O Dm 66.2697506
O Dm 66.3161905
O Dm 66.3626304
O Dm 66.4090703
O Dm 66.4555102
O Dm 66.5019501
O Dm 66.5483900
O Dm 66.5948299
O Dm 66.6412698
O Dm 66.6877098
O Dm 66.7341497
O Dm 66.7805896
O Dm 66.8270295
O Dm 66.8734694
O Dm 66.9199093
O Dm 66.9663492
O Dm 67.0127891
O Dm 67.0592290
O Dm 67.1056689
O Dm 67.1521088
O Dm 67.1985488
O Dm 67.2449887
O Dm 67.2914286
O Dm 67.3378685
O Dm 67.3843084
O Dm 67.4307483
O Dm 67.4771882
O Dm 67.5236281
