B C# 0.0928798
J A 6.0371882
J A 6.0836281
J A 6.1300680
T Gm 6.1765079
T Gm 6.2229478
T Gm 6.2693878
T Gm 6.3158277
V Am 6.3622676
V Am 6.4087075
V Am 6.4551474
V Am 6.5015873
V Am 6.5480272
V Am 6.5944671
V Am 6.6409070
V Am 6.6873469
V Am 6.7337868
V Am 6.7802268
V Am 6.8266667
V Am 6.8731066
V Am 6.9195465
V Am 6.9659864
V Am 7.0124263
V Am 7.0588662
V Am 7.1053061
V Am 7.1517460
V Am 7.1981859
V Am 7.2446259
V Am 7.2910658
V Am 7.3375057
V Am 7.3839456
V Am 7.4303855
V Am 7.4768254
V Am 7.5232653
V Am 7.5697052
V Am 7.6161451
V Am 7.6625850
V Am 7.7090249
V Am 7.7554649
V Am 7.8019048
V Am 7.8483447
V Am 7.8947846
V Am 7.9412245
V Am 7.9876644
V Am 8.0341043
V Am 8.0805442
V Am 8.1269841
V Am 8.1734240
V Am 8.2198639
V Am 8.2663039
V Am 8.3127438
V Am 8.3591837
V Am 8.4056236
V Am 8.4520635
V Am 8.4985034
V Am 8.5449433
V Am 8.5913832
V Am 8.6378231
V Am 8.6842630
V Am 8.7307029
V Am 8.7771429
V Am 8.8235828
V Am 8.8700227
V Am 8.9164626
V Am 8.9629025
V Am 9.0093424
V Am 9.0557823
V Am 9.1022222
V Am 9.1486621
V Am 9.1951020
V Am 9.2415420
V Am 9.2879819
V Am 9.3344218
V Am 9.3808617
V Am 9.4273016
V Am 9.4737415
V Am 9.5201814
V Am 9.5666213
V Am 9.6130612
V Am 9.6595011
V Am 9.7059410
V Am 9.7523810
V Am 9.7988209
V Am 9.8452608
V Am 9.8917007
V Am 9.9381406
V Am 9.9845805
V Am 10.0310204
V Am 10.0774603
V Am 10.1239002
V Am 10.1703401
V Am 10.2167800
V Am 10.2632200
V Am 10.3096599
V Am 10.3560998
V Am 10.4025397
V Am 10.4489796
V Am 10.4954195
V Am 10.5418594
V Am 10.5882993
V Am 10.6347392
J A 10.6811791
J A 10.7276190
J A 10.7740590
J A 10.8204989
J A 10.8669388
J A 10.9133787
J A 10.9598186
J A 11.0062585
J A 11.0526984
J A 11.0991383
J A 11.1455782
J A 11.1920181
J A 11.2384580
J A 11.2848980
J A 11.3313379
J A 11.3777778
J A 11.4242177
J A 11.4706576
J A 11.5170975
J A 11.5635374
J A 11.6099773
J A 11.6564172
J A 11.7028571
J A 11.7492971
J A 11.7957370
J A 11.8421769
J A 11.8886168
J A 11.9350567
J A 11.9814966
J A 12.0279365
J A 12.0743764
J A 12.1208163
J A 12.1672562
J A 12.2136961
J A 12.2601361
J A 12.3065760
J A 12.3530159
J A 12.3994558
J A 12.4458957
J A 12.4923356
J A 12.5387755
J A 12.5852154
J A 12.6316553
J A 12.6780952
J A 12.7245351
J A 12.7709751
J A 12.8174150
J A 12.8638549
J A 12.9102948
J A 12.9567347
J A 13.0031746
J A 13.0496145
J A 13.0960544
J A 13.1424943
J A 13.1889342
J A 13.2353741
J A 13.2818141
J A 13.3282540
J A 13.3746939
J A 13.4211338
J A 13.4675737
J A 13.5140136
J A 13.5604535
J A 13.6068934
J A 13.6533333
J A 13.6997732
J A 13.7462132
J A 13.7926531
J A 13.8390930
J A 13.8855329
J A 13.9319728
J A 13.9784127
J A 14.0248526
J A 14.0712925
J A 14.1177324
J A 14.1641723
J A 14.2106122
J A 14.2570522
J A 14.3034921
J A 14.3499320
J A 14.3963719
J A 14.4428118
J A 14.4892517
J A 14.5356916
J A 14.5821315
J A 14.6285714
A C 14.6750113
A C 14.7214512
A C 14.7678912
A C 14.8143311
A C 14.8607710
A C 14.9072109
A C 14.9536508
A C 15.0000907
A C 15.0465306
A C 15.0929705
A C 15.1394104
A C 15.1858503
A C 15.2322902
T Gm 15.2787302
T Gm 15.3251701
T Gm 15.3716100
T Gm 15.4180499
T Gm 15.4644898
T Gm 15.5109297
T Gm 15.5573696
T Gm 15.6038095
T Gm 15.6502494
T Gm 15.6966893
T Gm 15.7431293
T Gm 15.7895692
T Gm 15.8360091
T Gm 15.8824490
T Gm 15.9288889
J A 15.9753288
J A 16.0217687
J A 16.0682086
J A 16.1146485
J A 16.1610884
J A 16.2075283
J A 16.2539683
J A 16.3004082
J A 16.3468481
J A 16.3932880
J A 16.4397279
J A 16.4861678
J A 16.5326077
J A 16.5790476
J A 16.6254875
J A 16.6719274
J A 16.7183673
J A 16.7648073
J A 16.8112472
J A 16.8576871
J A 16.9041270
J A 16.9505669
J A 16.9970068
J A 17.0434467
J A 17.0898866
J A 17.1363265
J A 17.1827664
J A 17.2292063
J A 17.2756463
J A 17.3220862
J A 17.3685261
J A 17.4149660
J A 17.4614059
J A 17.5078458
J A 17.5542857
J A 17.6007256
J A 17.6471655
J A 17.6936054
J A 17.7400454
J A 17.7864853
J A 17.8329252
J A 17.8793651
J A 17.9258050
J A 17.9722449
J A 18.0186848
J A 18.0651247
J A 18.1115646
J A 18.1580045
J A 18.2044444
J A 18.2508844
J A 18.2973243
J A 18.3437642
J A 18.3902041
J A 18.4366440
J A 18.4830839
J A 18.5295238
J A 18.5759637
J A 18.6224036
J A 18.6688435
J A 18.7152834
J A 18.7617234
J A 18.8081633
J A 18.8546032
J A 18.9010431
J A 18.9474830
A C 18.9939229
A C 19.0403628
A C 19.0868027
A C 19.1332426
A C 19.1796825
A C 19.2261224
A C 19.2725624
T Gm 19.3190023
T Gm 19.3654422
T Gm 19.4118821
T Gm 19.4583220
H G 19.5047619
H G 19.5512018
H G 19.5976417
H G 19.6440816
J A 19.6905215
J A 19.7369615
J A 19.7834014
J A 19.8298413
J A 19.8762812
J A 19.9227211
J A 19.9691610
J A 20.0156009
J A 20.0620408
J A 20.1084807
J A 20.1549206
J A 20.2013605
J A 20.2478005
J A 20.2942404
J A 20.3406803
J A 20.3871202
J A 20.4335601
J A 20.4800000
J A 20.5264399
J A 20.5728798
J A 20.6193197
J A 20.6657596
J A 20.7121995
J A 20.7586395
A C 20.8050794
A C 20.8515193
A C 20.8979592
A C 20.9443991
A C 20.9908390
A C 21.0372789
A C 21.0837188
A C 21.1301587
T Gm 21.1765986
T Gm 21.2230385
T Gm 21.2694785
T Gm 21.3159184
H G 21.3623583
H G 21.4087982
H G 21.4552381
H G 21.5016780
H G 21.5481179
J A 21.5945578
J A 21.6409977
J A 21.6874376
J A 21.7338776
J A 21.7803175
J A 21.8267574
J A 21.8731973
J A 21.9196372
J A 21.9660771
J A 22.0125170
J A 22.0589569
J A 22.1053968
J A 22.1518367
J A 22.1982766
J A 22.2447166
J A 22.2911565
J A 22.3375964
J A 22.3840363
J A 22.4304762
J A 22.4769161
J A 22.5233560
J A 22.5697959
J A 22.6162358
J A 22.6626757
J A 22.7091156
J A 22.7555556
J A 22.8019955
J A 22.8484354
J A 22.8948753
J A 22.9413152
J A 22.9877551
J A 23.0341950
T Gm 23.0806349
T Gm 23.1270748
T Gm 23.1735147
T Gm 23.2199546
H G 23.2663946
H G 23.3128345
H G 23.3592744
H G 23.4057143
J A 23.4521542
J A 23.4985941
J A 23.5450340
J A 23.5914739
J A 23.6379138
J A 23.6843537
J A 23.7307937
J A 23.7772336
J A 23.8236735
J A 23.8701134
J A 23.9165533
J A 23.9629932
J A 24.0094331
J A 24.0558730
J A 24.1023129
J A 24.1487528
J A 24.1951927
J A 24.2416327
J A 24.2880726
J A 24.3345125
J A 24.3809524
J A 24.4273923
J A 24.4738322
J A 24.5202721
A C 24.5667120
A C 24.6131519
A C 24.6595918
A C 24.7060317
A C 24.7524717
A C 24.7989116
A C 24.8453515
A C 24.8917914
T Gm 24.9382313
T Gm 24.9846712
T Gm 25.0311111
T Gm 25.0775510
H G 25.1239909
H G 25.1704308
H G 25.2168707
H G 25.2633107
H G 25.3097506
F F 25.3561905
F F 25.4026304
F F 25.4490703
F F 25.4955102
F F 25.5419501
F F 25.5883900
F F 25.6348299
F F 25.6812698
F F 25.7277098
F F 25.7741497
F F 25.8205896
F F 25.8670295
F F 25.9134694
F F 25.9599093
F F 26.0063492
F F 26.0527891
F F 26.0992290
F F 26.1456689
F F 26.1921088
F F 26.2385488
F F 26.2849887
F F 26.3314286
F F 26.3778685
F F 26.4243084
F F 26.4707483
F F 26.5171882
F F 26.5636281
F F 26.6100680
F F 26.6565079
F F 26.7029478
F F 26.7493878
F F 26.7958277
F F 26.8422676
F F 26.8887075
F F 26.9351474
F F 26.9815873
F F 27.0280272
F F 27.0744671
F F 27.1209070
F F 27.1673469
F F 27.2137868
F F 27.2602268
F F 27.3066667
F F 27.3531066
F F 27.3995465
F F 27.4459864
F F 27.4924263
F F 27.5388662
F F 27.5853061
F F 27.6317460
F F 27.6781859
F F 27.7246259
F F 27.7710658
F F 27.8175057
F F 27.8639456
F F 27.9103855
F F 27.9568254
F F 28.0032653
F F 28.0497052
F F 28.0961451
F F 28.1425850
F F 28.1890249
F F 28.2354649
F F 28.2819048
F F 28.3283447
F F 28.3747846
F F 28.4212245
F F 28.4676644
F F 28.5141043
F F 28.5605442
F F 28.6069841
F F 28.6534240
F F 28.6998639
F F 28.7463039
F F 28.7927438
F F 28.8391837
F F 28.8856236
F F 28.9320635
F F 28.9785034
C D 29.0249433
C D 29.0713832
C D 29.1178231
C D 29.1642630
C D 29.2107029
C D 29.2571429
C D 29.3035828
C D 29.3500227
C D 29.3964626
C D 29.4429025
C D 29.4893424
C D 29.5357823
C D 29.5822222
C D 29.6286621
C D 29.6751020
C D 29.7215420
C D 29.7679819
C D 29.8144218
C D 29.8608617
C D 29.9073016
C D 29.9537415
C D 30.0001814
C D 30.0466213
C D 30.0930612
C D 30.1395011
C D 30.1859410
C D 30.2323810
C D 30.2788209
C D 30.3252608
C D 30.3717007
C D 30.4181406
C D 30.4645805
C D 30.5110204
C D 30.5574603
C D 30.6039002
C D 30.6503401
C D 30.6967800
C D 30.7432200
C D 30.7896599
C D 30.8360998
C D 30.8825397
C D 30.9289796
C D 30.9754195
C D 31.0218594
C D 31.0682993
C D 31.1147392
C D 31.1611791
C D 31.2076190
C D 31.2540590
C D 31.3004989
C D 31.3469388
C D 31.3933787
C D 31.4398186
C D 31.4862585
C D 31.5326984
C D 31.5791383
C D 31.6255782
C D 31.6720181
C D 31.7184580
C D 31.7648980
C D 31.8113379
C D 31.8577778
C D 31.9042177
C D 31.9506576
C D 31.9970975
C D 32.0435374
C D 32.0899773
C D 32.1364172
C D 32.1828571
C D 32.2292971
C D 32.2757370
C D 32.3221769
C D 32.3686168
C D 32.4150567
C D 32.4614966
C D 32.5079365
C D 32.5543764
C D 32.6008163
C D 32.6472562
C D 32.6936961
C D 32.7401361
C D 32.7865760
C D 32.8330159
C D 32.8794558
C D 32.9258957
J A 32.9723356
J A 33.0187755
J A 33.0652154
J A 33.1116553
J A 33.1580952
J A 33.2045351
J A 33.2509751
J A 33.2974150
J A 33.3438549
J A 33.3902948
J A 33.4367347
J A 33.4831746
J A 33.5296145
J A 33.5760544
J A 33.6224943
J A 33.6689342
J A 33.7153741
J A 33.7618141
J A 33.8082540
J A 33.8546939
J A 33.9011338
J A 33.9475737
A C 33.9940136
A C 34.0404535
A C 34.0868934
A C 34.1333333
A C 34.1797732
A C 34.2262132
A C 34.2726531
A C 34.3190930
A C 34.3655329
A C 34.4119728
A C 34.4584127
J A 34.5048526
J A 34.5512925
J A 34.5977324
J A 34.6441723
J A 34.6906122
J A 34.7370522
J A 34.7834921
J A 34.8299320
J A 34.8763719
J A 34.9228118
J A 34.9692517
J A 35.0156916
J A 35.0621315
J A 35.1085714
J A 35.1550113
T Gm 35.2014512
T Gm 35.2478912
T Gm 35.2943311
T Gm 35.3407710
T Gm 35.3872109
V Am 35.4336508
V Am 35.4800907
V Am 35.5265306
V Am 35.5729705
V Am 35.6194104
V Am 35.6658503
V Am 35.7122902
V Am 35.7587302
V Am 35.8051701
V Am 35.8516100
V Am 35.8980499
V Am 35.9444898
V Am 35.9909297
V Am 36.0373696
V Am 36.0838095
V Am 36.1302494
V Am 36.1766893
V Am 36.2231293
J A 36.2695692
J A 36.3160091
J A 36.3624490
J A 36.4088889
J A 36.4553288
J A 36.5017687
J A 36.5482086
J A 36.5946485
J A 36.6410884
J A 36.6875283
J A 36.7339683
J A 36.7804082
J A 36.8268481
J A 36.8732880
J A 36.9197279
J A 36.9661678
J A 37.0126077
J A 37.0590476
J A 37.1054875
J A 37.1519274
J A 37.1983673
J A 37.2448073
J A 37.2912472
J A 37.3376871
J A 37.3841270
J A 37.4305669
J A 37.4770068
J A 37.5234467
J A 37.5698866
J A 37.6163265
J A 37.6627664
J A 37.7092063
A C 37.7556463
A C 37.8020862
A C 37.8485261
A C 37.8949660
A C 37.9414059
A C 37.9878458
A C 38.0342857
T Gm 38.0807256
T Gm 38.1271655
T Gm 38.1736054
J A 38.2200454
J A 38.2664853
J A 38.3129252
J A 38.3593651
J A 38.4058050
J A 38.4522449
J A 38.4986848
J A 38.5451247
J A 38.5915646
J A 38.6380045
J A 38.6844444
J A 38.7308844
J A 38.7773243
J A 38.8237642
J A 38.8702041
J A 38.9166440
T Gm 38.9630839
T Gm 39.0095238
T Gm 39.0559637
T Gm 39.1024036
T Gm 39.1488435
T Gm 39.1952834
V Am 39.2417234
V Am 39.2881633
V Am 39.3346032
V Am 39.3810431
V Am 39.4274830
V Am 39.4739229
V Am 39.5203628
V Am 39.5668027
V Am 39.6132426
V Am 39.6596825
V Am 39.7061224
V Am 39.7525624
V Am 39.7990023
V Am 39.8454422
V Am 39.8918821
V Am 39.9383220
V Am 39.9847619
V Am 40.0312018
V Am 40.0776417
V Am 40.1240816
V Am 40.1705215
F F 40.2169615
F F 40.2634014
F F 40.3098413
F F 40.3562812
F F 40.4027211
F F 40.4491610
F F 40.4956009
F F 40.5420408
F F 40.5884807
F F 40.6349206
F F 40.6813605
F F 40.7278005
F F 40.7742404
F F 40.8206803
F F 40.8671202
F F 40.9135601
F F 40.9600000
F F 41.0064399
F F 41.0528798
F F 41.0993197
F F 41.1457596
F F 41.1921995
F F 41.2386395
F F 41.2850794
F F 41.3315193
F F 41.3779592
F F 41.4243991
F F 41.4708390
F F 41.5172789
F F 41.5637188
F F 41.6101587
F F 41.6565986
F F 41.7030385
F F 41.7494785
F F 41.7959184
F F 41.8423583
F F 41.8887982
F F 41.9352381
F F 41.9816780
F F 42.0281179
F F 42.0745578
F F 42.1209977
F F 42.1674376
F F 42.2138776
F F 42.2603175
F F 42.3067574
F F 42.3531973
F F 42.3996372
F F 42.4460771
F F 42.4925170
F F 42.5389569
F F 42.5853968
F F 42.6318367
F F 42.6782766
F F 42.7247166
F F 42.7711565
F F 42.8175964
F F 42.8640363
F F 42.9104762
F F 42.9569161
F F 43.0033560
F F 43.0497959
F F 43.0962358
F F 43.1426757
F F 43.1891156
F F 43.2355556
F F 43.2819955
F F 43.3284354
F F 43.3748753
F F 43.4213152
F F 43.4677551
F F 43.5141950
F F 43.5606349
F F 43.6070748
F F 43.6535147
F F 43.6999546
F F 43.7463946
F F 43.7928345
F F 43.8392744
F F 43.8857143
F F 43.9321542
C D 43.9785941
C D 44.0250340
C D 44.0714739
C D 44.1179138
C D 44.1643537
C D 44.2107937
C D 44.2572336
C D 44.3036735
C D 44.3501134
C D 44.3965533
C D 44.4429932
C D 44.4894331
C D 44.5358730
C D 44.5823129
C D 44.6287528
C D 44.6751927
C D 44.7216327
C D 44.7680726
C D 44.8145125
C D 44.8609524
C D 44.9073923
C D 44.9538322
C D 45.0002721
C D 45.0467120
C D 45.0931519
C D 45.1395918
C D 45.1860317
C D 45.2324717
C D 45.2789116
C D 45.3253515
C D 45.3717914
C D 45.4182313
C D 45.4646712
C D 45.5111111
C D 45.5575510
C D 45.6039909
C D 45.6504308
C D 45.6968707
C D 45.7433107
C D 45.7897506
C D 45.8361905
C D 45.8826304
C D 45.9290703
C D 45.9755102
C D 46.0219501
C D 46.0683900
C D 46.1148299
C D 46.1612698
C D 46.2077098
C D 46.2541497
C D 46.3005896
C D 46.3470295
C D 46.3934694
C D 46.4399093
C D 46.4863492
C D 46.5327891
C D 46.5792290
C D 46.6256689
C D 46.6721088
C D 46.7185488
C D 46.7649887
C D 46.8114286
C D 46.8578685
C D 46.9043084
C D 46.9507483
C D 46.9971882
C D 47.0436281
C D 47.0900680
C D 47.1365079
C D 47.1829478
C D 47.2293878
C D 47.2758277
C D 47.3222676
J A 47.3687075
J A 47.4151474
J A 47.4615873
J A 47.5080272
J A 47.5544671
J A 47.6009070
J A 47.6473469
J A 47.6937868
J A 47.7402268
J A 47.7866667
J A 47.8331066
J A 47.8795465
J A 47.9259864
J A 47.9724263
J A 48.0188662
J A 48.0653061
J A 48.1117460
J A 48.1581859
J A 48.2046259
J A 48.2510658
J A 48.2975057
J A 48.3439456
J A 48.3903855
J A 48.4368254
J A 48.4832653
J A 48.5297052
J A 48.5761451
J A 48.6225850
J A 48.6690249
J A 48.7154649
J A 48.7619048
J A 48.8083447
J A 48.8547846
J A 48.9012245
J A 48.9476644
J A 48.9941043
J A 49.0405442
J A 49.0869841
J A 49.1334240
J A 49.1798639
J A 49.2263039
J A 49.2727438
J A 49.3191837
J A 49.3656236
J A 49.4120635
J A 49.4585034
J A 49.5049433
J A 49.5513832
J A 49.5978231
J A 49.6442630
J A 49.6907029
J A 49.7371429
J A 49.7835828
J A 49.8300227
J A 49.8764626
J A 49.9229025
J A 49.9693424
J A 50.0157823
J A 50.0622222
J A 50.1086621
J A 50.1551020
J A 50.2015420
J A 50.2479819
J A 50.2944218
J A 50.3408617
J A 50.3873016
J A 50.4337415
J A 50.4801814
J A 50.5266213
J A 50.5730612
J A 50.6195011
J A 50.6659410
J A 50.7123810
J A 50.7588209
J A 50.8052608
J A 50.8517007
J A 50.8981406
J A 50.9445805
J A 50.9910204
J A 51.0374603
J A 51.0839002
J A 51.1303401
J A 51.1767800
J A 51.2232200
J A 51.2696599
J A 51.3160998
J A 51.3625397
J A 51.4089796
J A 51.4554195
J A 51.5018594
J A 51.5482993
A C 51.5947392
A C 51.6411791
A C 51.6876190
A C 51.7340590
A C 51.7804989
A C 51.8269388
A C 51.8733787
A C 51.9198186
A C 51.9662585
A C 52.0126984
A C 52.0591383
A C 52.1055782
A C 52.1520181
A C 52.1984580
A C 52.2448980
A C 52.2913379
A C 52.3377778
A C 52.3842177
A C 52.4306576
A C 52.4770975
A C 52.5235374
V Am 52.5699773
V Am 52.6164172
V Am 52.6628571
V Am 52.7092971
V Am 52.7557370
V Am 52.8021769
V Am 52.8486168
V Am 52.8950567
V Am 52.9414966
V Am 52.9879365
V Am 53.0343764
V Am 53.0808163
V Am 53.1272562
V Am 53.1736961
V Am 53.2201361
V Am 53.2665760
V Am 53.3130159
V Am 53.3594558
V Am 53.4058957
V Am 53.4523356
A C 53.4987755
A C 53.5452154
A C 53.5916553
A C 53.6380952
A C 53.6845351
A C 53.7309751
A C 53.7774150
A C 53.8238549
A C 53.8702948
A C 53.9167347
A C 53.9631746
A C 54.0096145
A C 54.0560544
A C 54.1024943
A C 54.1489342
A C 54.1953741
A C 54.2418141
A C 54.2882540
A C 54.3346939
V Am 54.3811338
V Am 54.4275737
V Am 54.4740136
V Am 54.5204535
V Am 54.5668934
V Am 54.6133333
V Am 54.6597732
V Am 54.7062132
V Am 54.7526531
V Am 54.7990930
V Am 54.8455329
V Am 54.8919728
V Am 54.9384127
V Am 54.9848526
V Am 55.0312925
V Am 55.0777324
V Am 55.1241723
V Am 55.1706122
V Am 55.2170522
V Am 55.2634921
V Am 55.3099320
V Am 55.3563719
V Am 55.4028118
V Am 55.4492517
V Am 55.4956916
V Am 55.5421315
V Am 55.5885714
V Am 55.6350113
A C 55.6814512
A C 55.7278912
A C 55.7743311
A C 55.8207710
A C 55.8672109
A C 55.9136508
A C 55.9600907
A C 56.0065306
A C 56.0529705
A C 56.0994104
A C 56.1458503
A C 56.1922902
A C 56.2387302
A C 56.2851701
A C 56.3316100
J A 56.3780499
J A 56.4244898
J A 56.4709297
J A 56.5173696
J A 56.5638095
J A 56.6102494
J A 56.6566893
J A 56.7031293
J A 56.7495692
J A 56.7960091
J A 56.8424490
J A 56.8888889
J A 56.9353288
J A 56.9817687
J A 57.0282086
J A 57.0746485
J A 57.1210884
J A 57.1675283
J A 57.2139683
J A 57.2604082
J A 57.3068481
J A 57.3532880
J A 57.3997279
J A 57.4461678
J A 57.4926077
J A 57.5390476
J A 57.5854875
J A 57.6319274
J A 57.6783673
J A 57.7248073
J A 57.7712472
J A 57.8176871
J A 57.8641270
J A 57.9105669
J A 57.9570068
J A 58.0034467
J A 58.0498866
J A 58.0963265
J A 58.1427664
J A 58.1892063
J A 58.2356463
J A 58.2820862
J A 58.3285261
J A 58.3749660
J A 58.4214059
J A 58.4678458
J A 58.5142857
J A 58.5607256
J A 58.6071655
T Gm 58.6536054
H G 58.7000454
H G 58.7464853
H G 58.7929252
H G 58.8393651
J A 58.8858050
J A 58.9322449
J A 58.9786848
J A 59.0251247
J A 59.0715646
J A 59.1180045
J A 59.1644444
J A 59.2108844
J A 59.2573243
J A 59.3037642
J A 59.3502041
J A 59.3966440
J A 59.4430839
J A 59.4895238
J A 59.5359637
J A 59.5824036
J A 59.6288435
J A 59.6752834
A C 59.7217234
A C 59.7681633
A C 59.8146032
A C 59.8610431
A C 59.9074830
A C 59.9539229
A C 60.0003628
A C 60.0468027
A C 60.0932426
A C 60.1396825
A C 60.1861224
A C 60.2325624
A C 60.2790023
A C 60.3254422
A C 60.3718821
A C 60.4183220
A C 60.4647619
A C 60.5112018
A C 60.5576417
A C 60.6040816
A C 60.6505215
A C 60.6969615
A C 60.7434014
A C 60.7898413
A C 60.8362812
A C 60.8827211
A C 60.9291610
A C 60.9756009
A C 61.0220408
A C 61.0684807
A C 61.1149206
A C 61.1613605
A C 61.2078005
A C 61.2542404
A C 61.3006803
A C 61.3471202
A C 61.3935601
A C 61.4400000
A C 61.4864399
A C 61.5328798
A C 61.5793197
A C 61.6257596
A C 61.6721995
A C 61.7186395
A C 61.7650794
A C 61.8115193
A C 61.8579592
A C 61.9043991
A C 61.9508390
A C 61.9972789
A C 62.0437188
A C 62.0901587
A C 62.1365986
A C 62.1830385
A C 62.2294785
A C 62.2759184
A C 62.3223583
A C 62.3687982
A C 62.4152381
A C 62.4616780
A C 62.5081179
A C 62.5545578
A C 62.6009977
A C 62.6474376
A C 62.6938776
A C 62.7403175
A C 62.7867574
A C 62.8331973
A C 62.8796372
A C 62.9260771
A C 62.9725170
A C 63.0189569
A C 63.0653968
A C 63.1118367
A C 63.1582766
A C 63.2047166
A C 63.2511565
A C 63.2975964
A C 63.3440363
A C 63.3904762
A C 63.4369161
A C 63.4833560
A C 63.5297959
A C 63.5762358
A C 63.6226757
A C 63.6691156
J A 63.7155556
J A 63.7619955
J A 63.8084354
J A 63.8548753
J A 63.9013152
J A 63.9477551
J A 63.9941950
J A 64.0406349
J A 64.0870748
J A 64.1335147
J A 64.1799546
J A 64.2263946
J A 64.2728345
J A 64.3192744
J A 64.3657143
J A 64.4121542
J A 64.4585941
J A 64.5050340
J A 64.5514739
J A 64.5979138
J A 64.6443537
J A 64.6907937
J A 64.7372336
J A 64.7836735
J A 64.8301134
A C 64.8765533
A C 64.9229932
A C 64.9694331
A C 65.0158730
A C 65.0623129
A C 65.1087528
A C 65.1551927
A C 65.2016327
H G 65.2480726
H G 65.2945125
H G 65.3409524
H G 65.3873923
H G 65.4338322
H G 65.4802721
H G 65.5267120
H G 65.5731519
H G 65.6195918
J A 65.6660317
J A 65.7124717
J A 65.7589116
J A 65.8053515
J A 65.8517914
J A 65.8982313
J A 65.9446712
J A 65.9911111
J A 66.0375510
J A 66.0839909
J A 66.1304308
J A 66.1768707
J A 66.2233107
J A 66.2697506
J A 66.3161905
J A 66.3626304
J A 66.4090703
J A 66.4555102
J A 66.5019501
J A 66.5483900
J A 66.5948299
A C 66.6412698
A C 66.6877098
A C 66.7341497
A C 66.7805896
A C 66.8270295
A C 66.8734694
A C 66.9199093
A C 66.9663492
A C 67.0127891
A C 67.0592290
A C 67.1056689
T Gm 67.1521088
T Gm 67.1985488
T Gm 67.2449887
T Gm 67.2914286
H G 67.3378685
H G 67.3843084
H G 67.4307483
H G 67.4771882
J A 67.5236281
J A 67.5700680
J A 67.6165079
J A 67.6629478
J A 67.7093878
J A 67.7558277
J A 67.8022676
J A 67.8487075
J A 67.8951474
J A 67.9415873
J A 67.9880272
J A 68.0344671
J A 68.0809070
J A 68.1273469
J A 68.1737868
J A 68.2202268
J A 68.2666667
J A 68.3131066
J A 68.3595465
J A 68.4059864
J A 68.4524263
J A 68.4988662
A C 68.5453061
A C 68.5917460
A C 68.6381859
A C 68.6846259
A C 68.7310658
A C 68.7775057
A C 68.8239456
A C 68.8703855
A C 68.9168254
A C 68.9632653
A C 69.0097052
A C 69.0561451
A C 69.1025850
A C 69.1490249
H G 69.1954649
H G 69.2419048
H G 69.2883447
H G 69.3347846
H G 69.3812245
J A 69.4276644
J A 69.4741043
J A 69.5205442
J A 69.5669841
J A 69.6134240
J A 69.6598639
J A 69.7063039
J A 69.7527438
J A 69.7991837
J A 69.8456236
J A 69.8920635
J A 69.9385034
J A 69.9849433
J A 70.0313832
J A 70.0778231
J A 70.1242630
J A 70.1707029
J A 70.2171429
J A 70.2635828
